run,game,llm,llm_color,result,move_number,color,move,actor,kind,first_violation_in_game,repeats_positions_after_moves,captured_stones,suicide_stones,log,line
arena_20260718_061501_196878_3d7b72be,1,gpt-5.4-low-api,B,B+R,57,B,G2,llm,simple_ko,True,[55],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,1
arena_20260718_061501_196878_3d7b72be,1,gpt-5.4-low-api,B,B+R,61,B,G2,llm,simple_ko,False,[59],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,1
arena_20260718_061501_196878_3d7b72be,1,gpt-5.4-low-api,B,B+R,65,B,G2,llm,simple_ko,False,[63],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,1
arena_20260718_061501_196878_3d7b72be,1,gpt-5.4-low-api,B,B+R,77,B,A6,llm,other_positional_superko,False,[74],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,1
arena_20260718_061501_196878_3d7b72be,1,gpt-5.4-low-api,B,B+R,81,B,A6,llm,simple_ko,False,[79],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,1
arena_20260718_061501_196878_3d7b72be,2,gpt-5.4-low-api,W,W+10.0,84,W,D1,llm,simple_ko,True,[82],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,2
arena_20260718_061501_196878_3d7b72be,6,gpt-5.4-low-api,W,B+46.0,74,W,E9,llm,simple_ko,True,[72],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,6
arena_20260718_061501_196878_3d7b72be,14,gpt-5.4-low-api,W,B+74.0,246,W,E9,llm,simple_ko,True,[244],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,14
arena_20260718_061501_196878_3d7b72be,14,gpt-5.4-low-api,W,B+74.0,250,W,E9,llm,simple_ko,False,[248],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,14
arena_20260718_061501_196878_3d7b72be,14,gpt-5.4-low-api,W,B+74.0,264,W,D8,llm,simple_ko,False,[262],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,14
arena_20260718_061501_196878_3d7b72be,14,gpt-5.4-low-api,W,B+74.0,268,W,A5,llm,simple_ko,False,[266],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,14
arena_20260718_061501_196878_3d7b72be,15,gpt-5.4-low-api,B,W+26.0,85,B,H1,llm,simple_ko,True,[83],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,15
arena_20260718_061501_196878_3d7b72be,15,gpt-5.4-low-api,B,W+26.0,93,B,E1,llm,simple_ko,False,[91],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,15
arena_20260718_061501_196878_3d7b72be,15,gpt-5.4-low-api,B,W+26.0,103,B,E1,llm,simple_ko,False,[101],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,15
arena_20260718_061501_196878_3d7b72be,18,gpt-5.4-low-api,W,W+12.0,46,W,F6,llm,simple_ko,True,[44],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,18
arena_20260718_061501_196878_3d7b72be,18,gpt-5.4-low-api,W,W+12.0,66,W,F8,llm,simple_ko,False,[64],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,18
arena_20260718_061501_196878_3d7b72be,18,gpt-5.4-low-api,W,W+12.0,70,W,F8,llm,simple_ko,False,[68],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,18
